2026-01-21T21:21:58+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"FirstFitDecreasing\random\test8.txt",89600,9.2281,8.02176,us,,,,,,7,15
"BestFit\random\test8.txt",89600,9.6384,8.19615,us,,,,,,8,15
"BestFitDecreasing\random\test8.txt",112000,12.5982,10.1842,us,,,,,,7,15
"FirstFit\random\test9.txt",112000,6.90719,5.85938,us,,,,,,9,14
"FirstFitDecreasing\random\test9.txt",89600,8.79413,7.84738,us,,,,,,8,14
"BestFit\random\test9.txt",74667,10.9666,8.3705,us,,,,,,9,14
"BestFitDecreasing\random\test9.txt",64000,11.4081,10.0098,us,,,,,,8,14
"FirstFit\random\test10.txt",56000,13.1969,11.7188,us,,,,,,14,27
"FirstFitDecreasing\random\test10.txt",44800,16.8494,14.2997,us,,,,,,12,27
"BestFit\random\test10.txt",44800,18.2,14.9972,us,,,,,,14,27
"BestFitDecreasing\random\test10.txt",37333,20.711,20.0895,us,,,,,,12,27
"FirstFit\random\test11.txt",112000,5.83547,5.71987,us,,,,,,18,27
"FirstFitDecreasing\random\test11.txt",112000,7.08051,7.11496,us,,,,,,17,27
"BestFit\random\test11.txt",89600,8.46427,8.54492,us,,,,,,18,27
"BestFitDecreasing\random\test11.txt",64000,11.3443,11.2305,us,,,,,,17,27
"FirstFit\random\test12.txt",100000,5.15004,5.15625,us,,,,,,15,28
"FirstFitDecreasing\random\test12.txt",112000,7.03281,7.11496,us,,,,,,14,28
"BestFit\random\test12.txt",74667,8.05064,7.53345,us,,,,,,15,28
"BestFitDecreasing\random\test12.txt",64000,11.082,10.7422,us,,,,,,14,28
"FirstFit\random\test13.txt",235789,3.34968,3.37961,us,,,,,,9,19
"FirstFitDecreasing\random\test13.txt",172308,4.157,4.17131,us,,,,,,8,19
"BestFit\random\test13.txt",165926,4.25123,4.33175,us,,,,,,8,19
"BestFitDecreasing\random\test13.txt",112000,5.67649,5.30134,us,,,,,,8,19
