2026-01-21T20:17:36+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"FirstFit\near-half\test22.txt",640000,1.173,1.17188,us,,,,,,4,6
"FirstFitDecreasing\near-half\test22.txt",448000,1.40068,1.39509,us,,,,,,4,6
"BestFit\near-half\test22.txt",560000,1.33657,1.33929,us,,,,,,4,6
"BestFitDecreasing\near-half\test22.txt",448000,1.70108,1.70898,us,,,,,,4,6
"Backtracking_Unsoreted_no_prune\near-half\test22.txt",56000,11.9416,11.7188,us,,,,,,4,6
"Backtracking_Unsoreted_better_prune\near-half\test22.txt",89600,8.29606,8.37054,us,,,,,,4,6
"Backtracking_Unsoreted_best_prune\near-half\test22.txt",74667,8.38846,8.3705,us,,,,,,4,6
"Backtracking_Soreted_asc_no_prune\near-half\test22.txt",49778,13.9611,13.1835,us,,,,,,4,6
"Backtracking_Soreted_asc_better_prune\near-half\test22.txt",64000,11.0818,10.9863,us,,,,,,4,6
"Backtracking_Soreted_asc_best_prune\near-half\test22.txt",56000,11.2001,10.8817,us,,,,,,4,6
"Backtracking_Soreted_desc_no_prune\near-half\test22.txt",89600,6.98908,6.97545,us,,,,,,4,6
"Backtracking_Soreted_desc_better_prune\near-half\test22.txt",224000,3.11639,3.13895,us,,,,,,4,6
"Backtracking_Soreted_desc_best_prune\near-half\test22.txt",224000,3.13985,3.13895,us,,,,,,4,6
"FirstFit\near-half\test23.txt",235789,2.90852,2.91574,us,,,,,,9,14
"FirstFitDecreasing\near-half\test23.txt",224000,3.28384,3.34821,us,,,,,,8,14
"BestFit\near-half\test23.txt",74667,8.3988,7.74271,us,,,,,,9,14
"BestFitDecreasing\near-half\test23.txt",64000,11.2038,10.0098,us,,,,,,8,14
"Backtracking_Unsoreted_no_prune\near-half\test23.txt",28,22837.2,20647.3,us,,,,,,8,14
"Backtracking_Unsoreted_better_prune\near-half\test23.txt",179,4403.64,3666.2,us,,,,,,8,14
"Backtracking_Unsoreted_best_prune\near-half\test23.txt",166,4732.14,3953.31,us,,,,,,8,14
"Backtracking_Soreted_asc_no_prune\near-half\test23.txt",11,79388.3,72443.2,us,,,,,,8,14
"Backtracking_Soreted_asc_better_prune\near-half\test23.txt",24,34931.6,26692.7,us,,,,,,8,14
"Backtracking_Soreted_asc_best_prune\near-half\test23.txt",22,35435.5,29119.3,us,,,,,,8,14
"Backtracking_Soreted_desc_no_prune\near-half\test23.txt",64,12112.9,10742.2,us,,,,,,8,14
"Backtracking_Soreted_desc_better_prune\near-half\test23.txt",34462,21.5505,17.2291,us,,,,,,8,14
"Backtracking_Soreted_desc_best_prune\near-half\test23.txt",40727,15.4925,15.3461,us,,,,,,8,14
"FirstFit\near-half\test24.txt",74667,8.68011,7.11492,us,,,,,,11,16
